Name,ID,Category,Network,Nation,Institution,GLAT,GLON,Start,End,Notes,Data Link,Source,Instrument id (kinst),Altitude (km),Principal Investigator,PI Email,AACGMLON,AACGMLAT,OPERATOR-NUM,OP2,OP3,Unnamed: 10,Unnamed: 11,Record ID#,Official Name,Operator (additional),Seasonality,Status,Year Established,Antarctic Region,Latitude (DDM),Longitude (DDM),Elevation (meters),Elevation Datum,Peak Population,Power Supply Types,Photo URL,Webcam URL,Date Modified,Hemisphere,PLAT,PLON
Canberra,CAN,Magnetometers,210MM,,,-35.31,149.36,,,,,SuperMAG,,,,,-133.21,-45.18,3,AUS,MAGDAS,,,,,,,,,,,,,,,,,,,S,51.46475955,157.3651589
Lunping,LNP,Magnetometers,210MM,,,25,121.17,,,,,SuperMAG,,,,,-167.06,18.28,2,INTERMAGNET,,,,,,,,,,,,,,,,,,,,N,25,121.17
Zhigansk,ZGN,Magnetometers,210MM,,,66.75,123.26,,,,,SuperMAG,,,,,-165.86,61.42,2,MAGDAS,,,,,,,,,,,,,,,,,,,,N,66.75,123.26
Popov Island,PPI,Magnetometers,210MM,,,42.98,131.73,,,,,SuperMAG,,,,,-155.9,36.72,1,,,,,,,,,,,,,,,,,,,,,N,42.98,131.73
Beijing,BJI,Magnetometers,210MM,,,40.06,116.18,,,,,SuperMAG,,,,,-171.27,34.45,1,,,,,,,,,,,,,,,,,,,,,N,40.06,116.18
Barok,BOX,Magnetometers,210MM,,,58.03,38.97,,,,,SuperMAG,,,,,113.83,53.94,3,INTERMAGNET,BCMT,,,,,,,,,,,,,,,,,,,N,58.03,38.97
Muntinlupa,MUT,Magnetometers,210MM,,,14.37,121.02,,,,,SuperMAG,,,,,-167.55,7.1,2,MAGDAS,,,,,,,,,,,,,,,,,,,,N,14.37,121.02
Pontianak,PTN,Magnetometers,210MM,,,-0.05,109.25,,,,,SuperMAG,,,,,-179.14,-8.26,2,MAGDAS,,,,,,,,,,,,,,,,,,,,S,14.47877942,109.2068336
Watukosek,WTK,Magnetometers,210MM,,,-7.56,112.63,,,,,SuperMAG,,,,,-175.72,-16.41,1,,,,,,,,,,,,,,,,,,,,,S,22.26677389,112.3935595
Katanning,KAT,Magnetometers,210MM,,,-33.68,117.62,,,,,SuperMAG,,,,,-171.25,-46.2,1,,,,,,,,,,,,,,,,,,,,,S,50.35005567,115.6775681
Kotelnyy,KTN,Magnetometers,210MM,,,75.94,137.71,,,,,SuperMAG,,,,,-158.68,70.28,1,,,,,,,,,,,,,,,,,,,,,N,75.94,137.71
Chokurdakh,CHD,Magnetometers,210MM,,,70.62,147.89,,,,,SuperMAG,,,,,-147.39,65.13,2,MAGDAS,,,,,,,,,,,,,,,,,,,,N,70.62,147.89
Zyryanka,ZYK,Magnetometers,210MM,,,65.75,150.78,,,,,SuperMAG,,,,,-142.63,60.1,1,,,,,,,,,,,,,,,,,,,,,N,65.75,150.78
Moshiri,MSR,Magnetometers,210MM,,,44.37,142.27,,,,,SuperMAG,,,,,-146.22,37.66,1,,,,,,,,,,,,,,,,,,,,,N,44.37,142.27
Onagawa,ONW,Magnetometers,210MM,,,38.43,141.47,,,,,SuperMAG,,,,,-147,31.6,2,MAGDAS,,,,,,,,,,,,,,,,,,,,N,38.43,141.47
Kagoshima,KAG,Magnetometers,210MM,,,31.48,130.72,,,,,SuperMAG,,,,,-157.35,24.79,1,,,,,,,,,,,,,,,,,,,,,N,31.48,130.72
Yamakawa,YMK,Magnetometers,210MM,,,31.19,130.62,,,,,SuperMAG,,,,,-157.46,24.49,1,,,,,,,,,,,,,,,,,,,,,N,31.19,130.62
Chichijima,CBI,Magnetometers,210MM,,,27.15,142.3,,,,,SuperMAG,,,,,-146.57,20,1,,,,,,,,,,,,,,,,,,,,,N,27.15,142.3
Yap,YAP,Magnetometers,210MM,,,9.3,138.5,,,,,SuperMAG,,,,,-150.35,1.72,2,MAGDAS,,,,,,,,,,,,,,,,,,,,N,9.3,138.5
Koror,KOR,Magnetometers,210MM,,,7.33,134.5,,,,,SuperMAG,,,,,-154.27,-0.32,1,,,,,,,,,,,,,,,,,,,,,N,7.33,134.5
Biak,BIK,Magnetometers,210MM,,,-1.08,136.05,,,,,SuperMAG,,,,,-152.42,-9.15,2,MAGDAS,,,,,,,,,,,,,,,,,,,,S,16.51699998,136.2658324
Wewak,WEW,Magnetometers,210MM,,,-3.55,143.62,,,,,SuperMAG,,,,,-144.46,-11.61,1,,,,,,,,,,,,,,,,,,,,,S,18.88921293,144.4856147
Darwin,DRW,Magnetometers,210MM,,,-12.4,130.9,,,,,SuperMAG,,,,,-157.02,-21.44,3,AUS,MAGDAS,,,,,,,,,,,,,,,,,,,S,27.95253723,130.8693125
Weipa,WEP,Magnetometers,210MM,,,-12.68,141.88,,,,,SuperMAG,,,,,-145.43,-21.55,1,,,,,,,,,,,,,,,,,,,,,S,28.41983647,143.1769938
Birdsville,BSV,Magnetometers,210MM,,,-25.54,139.21,,,,,SuperMAG,,,,,-146.77,-35.55,1,,,,,,,,,,,,,,,,,,,,,S,41.99246609,141.1189328
Dalby,DAL,Magnetometers,210MM,,,-27.18,151.2,,,,,SuperMAG,,,,,-133.03,-36.22,1,,,,,,,,,,,,,,,,,,,,,S,42.85511553,156.9694991
Adelaide,ADL,Magnetometers,210MM,,,-34.67,138.65,,,,,SuperMAG,,,,,-146.01,-45.73,1,,,,,,,,,,,,,,,,,,,,,S,51.63363424,142.2049663
Ewa Beach,EWA,Magnetometers,210MM,,,21.32,202,,,,,SuperMAG,,,,,-90.19,21.45,2,MAGDAS,,,,,,,,,,,,,,,,,,,,N,21.32,-158
American Samoa,ASA,Magnetometers,210MM,,,-14.28,170.7,,,,,SuperMAG,,,,,-114.78,-19.14,1,,,,,,,,,,,,,,,,,,,,,S,23.42263327,176.5263929
Macquarie Island,MCQ,Magnetometers,210MM,,,-54.5,158.95,,,,,SuperMAG,,,,,-111.91,-64.48,4,INTERMAGNET,AUS,MAGDAS,,,,,,,,,,,,,,,,,,S,66.9097169,-168.972724
